City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Praia da Vitória,38.7333,-27.0667,20.42,83,75,6.51,PT,1697492005
274,Iskushuban,10.2837,50.23,26.02,73,41,2.97,SO,1697492005
275,Uchiza,-8.4592,-76.4633,26.84,69,44,1.05,PE,1697492006
276,San Patricio,28.017,-97.5169,24.92,32,0,5.67,US,1697491581
277,Tūkrah,32.5341,20.5791,22.68,78,0,1.99,LY,1697492006
278,Saldanha,-33.0117,17.9442,20.03,75,4,3.0,ZA,1697491889
279,Karlsfeld,48.2167,11.4667,2.78,91,95,2.67,DE,1697492006
280,Grootfontein,-19.5667,18.1167,19.76,17,2,2.06,NA,1697492007
281,Nuuk,64.1835,-51.7216,-2.66,63,20,6.17,GL,1697491449
282,Zinder,13.8072,8.9881,31.29,19,99,4.53,NE,1697492007
283,Susuman,62.7833,148.1667,-20.87,91,4,0.46,RU,1697491409
284,Santa Cecília,-26.9608,-50.4269,16.53,99,100,1.21,BR,1697492008
285,Dudinka,69.4058,86.1778,-0.18,98,100,2.68,RU,1697492008
286,Rio Grande,-32.035,-52.0986,22.06,96,100,2.41,BR,1697491976
287,Salavan,15.7167,106.4167,22.34,96,100,0.23,LA,1697492008
288,Bucerías,20.75,-105.3333,32.21,66,75,4.63,MX,1697492008
289,San Ignacio de Velasco,-16.3667,-60.95,33.57,33,66,3.68,BO,1697492009
290,Port Lincoln,-34.7333,135.8667,13.44,68,5,5.5,AU,1697492009
291,Agat Village,13.3886,144.6585,27.52,86,40,2.06,GU,1697492009
292,Kazygurt,41.7589,69.3864,10.34,44,14,1.78,KZ,1697492009
293,Moapa Valley,36.5805,-114.4703,34.82,11,0,0.22,US,1697492010
294,Brisas de Zicatela,15.8369,-97.0419,31.29,48,40,2.57,MX,1697492010
295,Baotou,40.6522,109.8222,13.33,37,100,2.34,CN,1697491608
296,Altay,47.8667,88.1167,0.51,51,5,2.51,CN,1697492010
297,Lisala,2.15,21.5167,20.65,90,92,0.67,CD,1697492010
298,Fort St. John,56.2499,-120.8529,9.94,71,100,2.06,CA,1697491450
299,Tual,-5.6667,132.75,26.6,82,32,4.45,ID,1697491955
300,Aberdeen,57.1437,-2.0981,8.27,85,100,2.06,GB,1697492011
301,Villa Mercedes,-33.6757,-65.4578,22.53,17,0,7.45,AR,1697492011
302,Corn Island,12.1694,-83.0418,29.47,72,99,3.56,NI,1697491336
303,Kill Devil Hills,36.0307,-75.676,17.77,54,100,2.57,US,1697492011
304,Pizarro,4.9533,-77.366,27.1,81,53,2.28,CO,1697492012
305,Aswān,24.0934,32.907,24.94,30,0,6.45,EG,1697491567
306,Fale old settlement,-9.3852,-171.2468,28.56,77,87,9.92,TK,1697491595
307,Arraial do Cabo,-22.9661,-42.0278,23.92,88,40,7.72,BR,1697492003
308,Kogalym,62.2654,74.4791,4.48,93,79,3.57,RU,1697492013
309,Santa Branca,-23.3967,-45.8839,21.82,88,75,6.69,BR,1697492013
310,Hilo,19.7297,-155.09,28.85,73,20,3.6,US,1697491253
311,Heraclea,37.5133,34.0467,14.62,43,9,1.84,TR,1697492013
312,Mahenge,-8.6833,36.7167,19.68,77,69,2.18,TZ,1697492013
313,Ha'il,27.5219,41.6907,23.01,38,0,3.09,SA,1697492014
314,Tefé,-3.3542,-64.7114,30.06,66,20,1.03,BR,1697492014
315,Al Qaryatayn,34.2296,37.2407,16.14,73,0,1.87,SY,1697492014
316,Ancud,-41.8697,-73.8203,10.92,70,15,1.78,CL,1697492014
317,Guinguinéo,14.2667,-15.95,29.9,79,0,3.09,SN,1697492014
318,Nahrin,36.0649,69.1334,10.64,56,41,0.61,AF,1697492015
319,Cannonvale,-20.2833,148.7,21.66,63,3,1.02,AU,1697492015
320,Port Hedland,-20.3167,118.5667,24.03,11,0,4.12,AU,1697491584
321,Rundu,-17.9333,19.7667,23.68,15,88,1.82,NA,1697492015
322,Vallenar,-28.5708,-70.7581,23.11,36,99,2.47,CL,1697492016
323,Sydney,-33.8679,151.2073,14.84,66,40,12.35,AU,1697491770
324,Dunedin,-45.8742,170.5036,9.89,79,100,1.79,NZ,1697491567
325,Businga,3.3333,20.8833,21.68,96,96,0.89,CD,1697492016
326,Aţ Ţaraf,25.3628,49.725,27.3,45,0,3.7,SA,1697492016
327,Anadyr,64.75,177.4833,-2.72,86,20,3.0,RU,1697491990
328,Ilebo,-4.3167,20.5833,23.4,91,91,0.44,CD,1697492017
329,Kitwe,-12.7961,28.2477,21.03,74,92,2.29,ZM,1697492017
330,Sawākin,19.1059,37.3321,28.34,68,2,3.92,SD,1697492017
331,Oranjemund,-28.55,16.4333,16.74,77,3,2.98,NA,1697492017
332,Nagqu Prefecture,31.5,92.0,-0.72,45,100,0.99,CN,1697491457
333,Coquimbo,-29.9533,-71.3436,16.85,67,0,6.17,CL,1697492018
334,Richards Bay,-28.783,32.0377,18.51,94,100,4.67,ZA,1697491455
335,Klyuchi,52.2667,79.1667,9.92,62,100,4.18,RU,1697492018
336,Ahar,38.4774,47.0699,12.94,60,59,2.08,IR,1697492018
337,Cabedelo,-6.9811,-34.8339,25.37,76,27,6.56,BR,1697491566
338,Kendari,-3.945,122.4989,23.77,87,55,1.4,ID,1697492019
339,Mabaruma,8.2,-59.7833,29.0,79,40,2.06,GY,1697492019
340,Nosy Varika,-20.5833,48.5333,23.54,93,86,0.6,MG,1697492019
341,Sebastian,35.1668,-94.2669,20.31,35,0,3.93,US,1697492019
342,Haiku-Pauwela,20.9219,-156.3051,28.43,68,40,10.29,US,1697492019
343,Carnarvon,-24.8667,113.6333,23.12,51,0,5.64,AU,1697492020
344,Ballycastle,55.2044,-6.243,7.52,83,7,3.36,GB,1697492020
345,Kristiansund,63.1115,7.732,8.36,87,100,4.12,NO,1697491597
346,Zaysan,47.4667,84.8667,3.57,63,7,1.25,KZ,1697492020
347,Gizo Government Station,-8.103,156.8419,27.68,79,99,1.86,SB,1697491606
348,Belozersk,60.0326,37.7957,3.88,81,78,3.58,RU,1697492021
349,Sirte,31.2089,16.5887,22.93,64,0,3.54,LY,1697492021
350,Hampton Bays,40.869,-72.5176,17.08,68,100,4.63,US,1697492021
